ind,file_id,alloph,start,end,word_id
1,0001B,j,0.0,0.193,1
2,0001B,u0,0.193,0.288,1
3,0001B,r',0.288,0.311,1
4,0001B,i4,0.311,0.412,1
5,0001B,t,0.412,0.565,2
6,0001B,r',0.565,0.588,2
7,0001B,i0,0.588,0.715,2
8,0001B,f,0.715,0.835,2
9,0001B,a4,0.835,0.875,2
10,0001B,n,0.875,0.944,2
11,0001B,a4,0.944,1.009,2
12,0001B,f,1.009,1.24,2
13,0002B,a1,0.0,0.143,3
14,0002B,b,0.143,0.291,3
15,0002B,m',0.291,0.404,3
16,0002B,e0,0.404,0.575,3
17,0002B,n,0.575,0.723,3
18,0003B,v,0.0,0.125,4
19,0003B,y1,0.125,0.207,5
20,0003B,j,0.207,0.324,5
21,0003B,u0,0.324,0.421,5
22,0003B,l',0.421,0.494,5
23,0003B,i4,0.494,0.563,5
24,0003B,m,0.563,0.696,6
25,0003B,a0,0.696,0.814,6
26,0003B,d',0.814,0.888,6
27,0003B,d,0.888,0.973,7
28,0003B,m',0.973,1.062,7
29,0003B,i0,1.062,1.138,7
30,0003B,t,1.138,1.251,7
31,0003B,r',1.251,1.289,7
32,0003B,i4,1.289,1.347,7
33,0003B,i4,1.347,1.409,7
34,0003B,v,1.409,1.462,7
35,0003B,a4,1.462,1.512,7
36,0003B,k,1.512,1.604,8
37,0003B,s',1.604,1.736,8
38,0003B,e0,1.736,1.834,8
39,0003B,n',1.834,1.912,8
40,0003B,i4,1.912,1.968,8
41,0003B,e4,1.968,2.036,8
42,0003B,f',2.036,2.188,9
43,0003B,o0,2.188,2.277,9
44,0003B,d,2.277,2.344,9
45,0003B,y4,2.344,2.375,9
46,0003B,r,2.375,2.401,9
47,0003B,o4,2.401,2.465,9
48,0003B,v,2.465,2.546,9
49,0003B,n,2.546,2.609,9
50,0003B,a4,2.609,2.797,9
51,0003B,t',2.876,3.017,10
52,0003B,i1,3.017,3.097,10
53,0003B,zh,3.097,3.184,10
54,0003B,y1,3.184,3.249,10
55,0003B,l,3.249,3.313,10
56,0003B,o0,3.313,3.397,10
57,0003B,z,3.397,3.474,11
58,0003B,y1,3.474,3.521,11
59,0003B,b,3.521,3.598,11
60,0003B,a1,3.598,3.686,11
61,0003B,l',3.686,3.767,11
62,0003B,e0,3.767,3.908,11
63,0003B,l,3.908,3.994,11
64,0003B,a4,3.994,4.11,11
65,0003B,i1,4.635,4.789,12
66,0003B,i1,4.789,4.892,13
