ind,file_id,№word,word,transcription,start,end,sint_id
1,0001Y,1,юрий,ju0r'i4,0.0,0.412,1
2,0001Y,2,трифонов,tr'i0fa4na4f,0.412,1.24,1
3,0002Y,1,обмен,a1bm'e0n,0.0,0.723,2
4,0003Y,1,в,v,0.0,0.125,3
5,0003Y,2,июле,y1ju0l'i4,0.125,0.563,3
6,0003Y,3,мать,ma0d',0.563,0.888,4
7,0003Y,4,дмитриева,dm'i0tr'i4i4va4,0.888,1.512,4
8,0003Y,5,ксения,ks'e0n'i4e4,1.512,2.036,4
9,0003Y,6,федоровна,f'o0dy4ro4vna4,2.036,2.797,4
10,0003Y,7,тяжело,t'i1жy1lo0,2.876,3.397,5
11,0003Y,8,заболела,zy1ba1l'e0la4,3.397,4.11,5
12,0003Y,9,и,i1,4.635,4.789,6
13,0003Y,10,ее,i1jo0,4.789,5.047,6
14,0003Y,11,отвезли,a1tv'i1zl'i0,5.047,5.587,6
15,0003Y,12,в,v,5.587,5.652,6
16,0003Y,13,боткинскую,bo0tk'i4nsku4ju4,5.652,6.535,6
17,0003Y,14,где,gd'e0,6.823,7.038,7
18,0003Y,15,она,a1na0,7.038,7.258,7
19,0003Y,16,пролежала,pra2l'i1жa0la4,7.258,7.866,7
20,0003Y,17,двенадцать,dv'i1na0cy4d',7.866,8.512,7
21,0003Y,18,дней,dn'e0j,8.512,8.865,7
22,0003Y,19,с,s,9.284,9.366,8
23,0003Y,20,подозрением,pa2da1zr'e0n'i4e4m,9.366,10.089,8
24,0003Y,21,на,na1,10.089,10.207,8
25,0003Y,22,самое,sa0mo4e4,10.207,10.624,8
26,0003Y,23,худшее,hu0tшy4e4,10.624,11.252,8
27,0004Y,1,в,,0.0,0.011,9
28,0004Y,2,сентябре,s'i1n't'i1br'e0,0.011,0.661,9
29,0004Y,3,сделали,z'd'e0ly4l'e4,0.661,1.123,9
30,0004Y,4,операцию,a1p'e1ra0cy4y4,1.123,1.876,9
31,0004Y,5,худшее,hu0tшe4,2.358,2.9,10
32,0004Y,6,подтвердилось,py1tv'i1rd'i0ly4s',2.9,3.829,10
33,0004Y,7,но,no0,4.52,4.67,11
34,0004Y,8,ксения,ks'e0n'e4e4,4.67,5.127,11
35,0004Y,9,федоровна,f'o0da4ra4vna4,5.127,5.777,11
36,0004Y,10,считавшая,щi1ta0fшe4e4,6.083,6.693,12
37,0004Y,11,что,шto0,6.693,6.902,12
38,0004Y,12,у,u1,6.902,6.961,12
39,0004Y,13,нее,n'i1jo0,6.961,7.292,12
40,0004Y,14,язвенная,ja0zv'e4nna4e4,7.292,7.963,12
41,0004Y,15,болезнь,ba1l'e0z'n',7.963,8.514,12
42,0004Y,16,почувствовала,pa1чu0stu4vu4lo4,8.795,9.609,13
43,0004Y,17,улучшение,u1lu1чшe0n'i4e4,9.609,10.461,13
44,0004Y,18,стала,sta0la4,11.002,11.384,14
45,0004Y,19,вскоре,fsko0r'i4,11.384,11.799,14
46,0004Y,20,ходить,ha1d'i0t',11.799,12.352,14
47,0004Y,21,и,i1,12.914,13.007,15
48,0004Y,22,в,v,13.007,13.063,15
49,0004Y,23,октябре,a1kt'i1br'e0,13.063,13.528,15
50,0004Y,24,ее,i1jo0,13.528,13.79,15
51,0004Y,25,отправили,a1tpra0v'i4l'i4,13.79,14.353,15
52,0004Y,26,домой,da1mo0j,14.353,14.844,15
53,0004Y,27,пополневшую,po1pa1ln'e0fшu4e4,15.263,16.233,16
54,0004Y,28,и,i1,16.605,16.7,17
55,0004Y,29,твердо,tv'o0rdo4,16.7,17.099,17
56,0004Y,30,уверенную,u1v'e0r'i4nnu4e4,17.099,17.719,17
57,0004Y,31,в,f,17.719,17.808,17
58,0004Y,32,том,to0m,17.808,18.123,17
59,0004Y,33,что,шto0,18.394,18.655,18
60,0004Y,34,дело,d'e0ly4,18.655,19.022,18
61,0004Y,35,идет,y1d'o0t,19.022,19.412,18
62,0004Y,36,на,ny1,19.412,19.492,18
63,0004Y,37,поправку,pa1pra0fku4,19.492,20.172,18
64,0005Y,1,вот,vo0t,0.0,0.241,19
65,0005Y,2,именно,y0m'e4nna4,0.241,0.531,19
66,0005Y,3,тогда,ta1gda0,0.531,1.15,19
67,0005Y,4,когда,ka1gda0,1.398,1.746,20
68,0005Y,5,ксения,ks'e0n'e4e4,1.746,2.21,20
69,0005Y,6,федоровна,f'o0da4ra4vna4,2.21,2.764,20
70,0005Y,7,вернулась,v'e1rnu0le4s',2.764,3.293,20
71,0005Y,8,из,i1z,3.293,3.398,20
72,0005Y,9,больницы,ba1l'n'i0cy4,3.398,4.094,20
73,0005Y,10,жена,жe1na0,4.664,5.044,21
74,0005Y,11,дмитриева,dm'i0tr'i4y4vy4,5.044,5.699,21
75,0005Y,12,затеяла,za1t'e0e4la4,5.699,6.393,21
76,0005Y,13,обмен,a1bm'e0n,6.393,7.037,21
