file_id,filename
0001B,cta0001.seg_B1
0001Y,cta0001.seg_Y1
0001R,cta0001.seg_R2
0002B,cta0002.seg_B1
0002Y,cta0002.seg_Y1
0002R,cta0002.seg_R2
0003B,cta0003.seg_B1
0003Y,cta0003.seg_Y1
0003R,cta0003.seg_R2
0004B,cta0004.seg_B1
0004Y,cta0004.seg_Y1
0004R,cta0004.seg_R2
0005B,cta0005.seg_B1
0005Y,cta0005.seg_Y1
0005R,cta0005.seg_R2
0006B,cta0006.seg_B1
0006Y,cta0006.seg_Y1
0006R,cta0006.seg_R2
0007B,cta0007.seg_B1
0007Y,cta0007.seg_Y1
0007R,cta0007.seg_R2
0008B,cta0008.seg_B1
0008Y,cta0008.seg_Y1
0008R,cta0008.seg_R2
0009B,cta0009.seg_B1
0009Y,cta0009.seg_Y1
0009R,cta0009.seg_R2
0010B,cta0010.seg_B1
0010Y,cta0010.seg_Y1
0010R,cta0010.seg_R2
0011B,cta0011.seg_B1
0011Y,cta0011.seg_Y1
0011R,cta0011.seg_R2
0012B,cta0012.seg_B1
0012Y,cta0012.seg_Y1
0012R,cta0012.seg_R2
0013B,cta0013.seg_B1
0013Y,cta0013.seg_Y1
0013R,cta0013.seg_R2
0014B,cta0014.seg_B1
0014Y,cta0014.seg_Y1
0014R,cta0014.seg_R2
0015B,cta0015.seg_B1
0015Y,cta0015.seg_Y1
0015R,cta0015.seg_R2
0016B,cta0016.seg_B1
0016Y,cta0016.seg_Y1
0016R,cta0016.seg_R2
0017B,cta0017.seg_B1
0017Y,cta0017.seg_Y1
0017R,cta0017.seg_R2
0018B,cta0018.seg_B1
0018Y,cta0018.seg_Y1
0018R,cta0018.seg_R2
0019B,cta0019.seg_B1
0019Y,cta0019.seg_Y1
0019R,cta0019.seg_R2
0020B,cta0020.seg_B1
0020Y,cta0020.seg_Y1
0020R,cta0020.seg_R2
0021B,cta0021.seg_B1
0021Y,cta0021.seg_Y1
0021R,cta0021.seg_R2
0022B,cta0022.seg_B1
0022Y,cta0022.seg_Y1
0022R,cta0022.seg_R2
0023B,cta0023.seg_B1
0023Y,cta0023.seg_Y1
0023R,cta0023.seg_R2
0024B,cta0024.seg_B1
0024Y,cta0024.seg_Y1
0024R,cta0024.seg_R2
0025B,cta0025.seg_B1
0025Y,cta0025.seg_Y1
0025R,cta0025.seg_R2
0026B,cta0026.seg_B1
0026Y,cta0026.seg_Y1
0026R,cta0026.seg_R2
0027B,cta0027.seg_B1
0027Y,cta0027.seg_Y1
0027R,cta0027.seg_R2
0028B,cta0028.seg_B1
0028Y,cta0028.seg_Y1
0028R,cta0028.seg_R2
0029B,cta0029.seg_B1
0029Y,cta0029.seg_Y1
0029R,cta0029.seg_R2
0030B,cta0030.seg_B1
0030Y,cta0030.seg_Y1
0030R,cta0030.seg_R2
0031B,cta0031.seg_B1
0031Y,cta0031.seg_Y1
0031R,cta0031.seg_R2
0032B,cta0032.seg_B1
0032Y,cta0032.seg_Y1
0032R,cta0032.seg_R2
0033B,cta0033.seg_B1
0033Y,cta0033.seg_Y1
0033R,cta0033.seg_R2
0034B,cta0034.seg_B1
0034Y,cta0034.seg_Y1
0034R,cta0034.seg_R2
0035B,cta0035.seg_B1
0035Y,cta0035.seg_Y1
0035R,cta0035.seg_R2
0036B,cta0036.seg_B1
0036Y,cta0036.seg_Y1
0036R,cta0036.seg_R2
0037B,cta0037.seg_B1
0037Y,cta0037.seg_Y1
0037R,cta0037.seg_R2
0038B,cta0038.seg_B1
0038Y,cta0038.seg_Y1
0038R,cta0038.seg_R2
0039B,cta0039.seg_B1
